"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","nsets","nrow","ncol"
"1","fgsea",0.592000000000098,1.29999999999995,7.5,50,12009,20
"2","fisher",0.00999999999976353,0,2.39999999999998,50,12009,20
"3","cor",0.00500000000010914,0,2.89999999999998,50,12009,20
"4","rankcor",0.00399999999990541,0,3.39999999999998,50,12009,20
"5","avgFC",0.0570000000002437,0,74.1,50,12009,20
"6","plaid.limma",0.011000000000422,0,2.60000000000002,50,12009,20
"7","plaid.test",0.0970000000002074,0,128.3,50,12009,20
"8","gsva.limma",0.0769999999997708,0,78.1999999999999,50,12009,20
"9","sing.limma",0.115999999999985,0,28.8,50,12009,20
"10","fgsea",1.4050000000002,2.30000000000007,56.7,1000,12009,20
"11","fisher",0.436000000000149,0.100000000000023,301,1000,12009,20
"12","cor",0.00700000000006185,0,3.79999999999995,1000,12009,20
"13","rankcor",0.00500000000010914,0.100000000000023,4.39999999999998,1000,12009,20
"14","avgFC",1.0920000000001,0,1477.8,1000,12009,20
"15","plaid.limma",0.0840000000002874,0,11.3,1000,12009,20
"16","plaid.test",1.65300000000025,0.0999999999999091,1638.6,1000,12009,20
"17","gsva.limma",0.514000000000124,0,1266.5,1000,12009,20
"18","sing.limma",2.20700000000033,0.100000000000023,290.5,1000,12009,20
"19","fgsea",1.94300000000021,3.10000000000002,146,2864,12009,20
"20","fisher",1.40900000000011,0.100000000000023,1314,2864,12009,20
"21","cor",0.00999999999976353,0.100000000000023,5.70000000000005,2864,12009,20
"22","rankcor",0.00599999999985812,0.100000000000023,6.29999999999995,2864,12009,20
"23","avgFC",2.84000000000015,0.100000000000023,1636.3,2864,12009,20
"24","plaid.limma",0.227000000000317,0.199999999999932,29,2864,12009,20
"25","plaid.test",5.15000000000009,0.100000000000023,1636,2864,12009,20
"26","gsva.limma",1.51000000000022,0.200000000000045,1635.9,2864,12009,20
"27","sing.limma",7.1880000000001,0.0999999999999091,440.6,2864,12009,20
"28","fgsea",1.92299999999977,3.20000000000005,146.1,2864,12009,20
"29","fisher",1.41199999999981,0.100000000000023,1314,2864,12009,20
"30","cor",0.00900000000001455,0.200000000000045,5.79999999999995,2864,12009,20
"31","rankcor",0.00599999999985812,0.0999999999999091,6.19999999999993,2864,12009,20
"32","avgFC",2.8439999999996,0,1635.2,2864,12009,20
"33","plaid.limma",0.227999999999611,0.200000000000045,29.1,2864,12009,20
"34","plaid.test",5.20399999999972,0.100000000000023,1635,2864,12009,20
"35","gsva.limma",1.48199999999997,0.199999999999932,1634.7,2864,12009,20
"36","sing.limma",6.32799999999997,0.200000000000045,440.3,2864,12009,20
